id_user,nama,jenis_kelamin,umur,kecamatan,kota,negara,kode_pos,email,No.HP,url_photo
8e22e889-e62a-4934-97ae-2b810584c5c3,سینا کوتی,male,39,فارس,سنندج,Iran,60675,syn.khwty@example.com,003-52738294,https://randomuser.me/api/portraits/men/8.jpg
4fb92ede-940f-4793-b352-3ebff1c6f0a1,Villads Madsen,male,27,Hovedstaden,Esbjerg V,Denmark,21538,villads.madsen@example.com,22747037,https://randomuser.me/api/portraits/men/66.jpg
a34c6c14-c9f7-41f0-854c-919be83fe82b,پریا كامياران,female,32,هرمزگان,اهواز,Iran,97448,pry.kmyrn@example.com,082-29163879,https://randomuser.me/api/portraits/women/88.jpg
8b4c99c6-dc7d-4eed-b4f1-a6dcf98122c8,Ingmar Benecke,male,22,Hessen,Wilthen,Germany,64597,ingmar.benecke@example.com,0751-1278418,https://randomuser.me/api/portraits/men/39.jpg
3270785f-6922-4350-baa4-9bff36b9214c,Sara Marttila,female,46,North Karelia,Polvijärvi,Finland,17709,sara.marttila@example.com,05-489-251,https://randomuser.me/api/portraits/women/48.jpg
1e1e01de-8f46-4c5b-99af-7fa515585b0a,Toivo Koistinen,male,45,Finland Proper,Tyrnävä,Finland,28710,toivo.koistinen@example.com,08-234-022,https://randomuser.me/api/portraits/men/82.jpg
5509f767-cf39-43a1-bbd9-c27f956d5801,Generosa Lima,female,35,Espírito Santo,Cotia,Brazil,20364,generosa.lima@example.com,(12) 1975-0128,https://randomuser.me/api/portraits/women/44.jpg
3555b1af-b688-4496-9c45-7033126c4d8a,Saana Laurila,female,28,Päijät-Häme,Ranua,Finland,51952,saana.laurila@example.com,08-824-621,https://randomuser.me/api/portraits/women/18.jpg
c0858c60-b441-48f0-bdd7-3ca48cf7232f,Roy Lopez,male,71,Zürich,Giornico,Switzerland,6582,roy.lopez@example.com,075 314 68 73,https://randomuser.me/api/portraits/men/69.jpg
114deeb1-c9cd-46ff-a7c6-17a74a68d737,Ava Brown,female,70,Yukon,Selkirk,Canada,A1W 8J4,ava.brown@example.com,U53 R92-4856,https://randomuser.me/api/portraits/women/57.jpg
b9764a1e-9e96-458c-a83d-e46a321a7b13,Lisa Bell,female,35,Dyfed,Dundee,United Kingdom,G18 6PT,lisa.bell@example.com,0114310 140 9149,https://randomuser.me/api/portraits/women/20.jpg
2e621d9d-ca5f-4d95-a66a-06f13f22b905,Eevi Aalto,female,46,Northern Ostrobothnia,Puolanka,Finland,74454,eevi.aalto@example.com,02-105-630,https://randomuser.me/api/portraits/women/0.jpg
adc53100-0c29-475b-9b79-1151f225033b,Ellen Rice,female,75,Merseyside,Winchester,United Kingdom,W9 8WH,ellen.rice@example.com,015394 37187,https://randomuser.me/api/portraits/women/60.jpg
5a87b2d2-b7f8-42e9-886a-e46d99843a02,Nathaniel Soto,male,51,New South Wales,Tweed,Australia,3032,nathaniel.soto@example.com,00-7209-9881,https://randomuser.me/api/portraits/men/77.jpg
182d597f-c440-42dd-9678-a06fde45306d,عسل کامروا,female,73,کهگیلویه و بویراحمد,زاهدان,Iran,79361,aasl.khmrw@example.com,038-06090219,https://randomuser.me/api/portraits/women/91.jpg
c67d9e6c-130d-4b61-9df4-f6600e097621,Vickie Carr,female,67,North Carolina,Sacramento,United States,40002,vickie.carr@example.com,(327) 811-3869,https://randomuser.me/api/portraits/women/29.jpg
1e27e7de-de3e-4d4f-a046-cb2675335b86,Oliviya Kosarchin,female,26,Sumska,Nosivka,Ukraine,68411,oliviya.kosarchin@example.com,(066) U04-1124,https://randomuser.me/api/portraits/women/72.jpg
410fb990-df1f-467e-b8bc-b924c523ca19,Mathilde Madsen,female,27,Nordjylland,Noerre Alslev,Denmark,35918,mathilde.madsen@example.com,41366999,https://randomuser.me/api/portraits/women/63.jpg
ac077e83-0ee0-410b-9a15-d24cad7438b4,Chloé Bertrand,female,31,St. Gallen,Zunzgen,Switzerland,5188,chloe.bertrand@example.com,079 265 25 94,https://randomuser.me/api/portraits/women/84.jpg
e882d3f4-42cb-48b7-9ca3-dd2b98a60902,Walther Mauch,male,51,Bayern,Obernkirchen,Germany,16687,walther.mauch@example.com,0552-4123298,https://randomuser.me/api/portraits/men/64.jpg
6706a1d5-8cc5-4c10-a321-a6b157f20496,Annelies Stöckl,female,77,Nordrhein-Westfalen,Ortenberg,Germany,37362,annelies.stockl@example.com,0760-8093208,https://randomuser.me/api/portraits/women/53.jpg
f9800208-a609-4c4f-af40-8fb7b5cbaddf,Oliver Côté,male,55,Prince Edward Island,Summerside,Canada,J7H 0E1,oliver.cote@example.com,J32 G07-3868,https://randomuser.me/api/portraits/men/43.jpg
d59654f9-5236-4169-bc25-af12d67f6d8b,Faith Ortiz,female,70,Wiltshire,Chichester,United Kingdom,RN87 6HN,faith.ortiz@example.com,0151 477 3382,https://randomuser.me/api/portraits/women/6.jpg
8ea2a95a-1fda-48a1-9446-dc061a0a96b1,Patricia Ford,female,45,Monaghan,Nenagh,Ireland,28435,patricia.ford@example.com,071-085-7583,https://randomuser.me/api/portraits/women/18.jpg
a9256e42-ae22-4951-bc31-706de0c8f258,Armelim da Rocha,male,55,Roraima,Boa Vista,Brazil,58927,armelim.darocha@example.com,(65) 5410-7924,https://randomuser.me/api/portraits/men/20.jpg
fc4e5e8f-84c2-4d15-b7db-74e346576416,Ievfrosiniya Stepula,female,44,Dnipropetrovska,Shpola,Ukraine,71183,ievfrosiniya.stepula@example.com,(099) N00-5566,https://randomuser.me/api/portraits/women/76.jpg
9adfed56-f511-475e-a176-bdc4c5997b79,Svitozar Tarnovskiy,male,47,Kiyivska,Tlumach,Ukraine,18697,svitozar.tarnovskiy@example.com,(099) N23-4368,https://randomuser.me/api/portraits/men/14.jpg
79f49709-96b3-4212-907b-d484e3c451b9,Kristin Hopkins,female,44,Northern Territory,Shepparton,Australia,7917,kristin.hopkins@example.com,03-3723-9356,https://randomuser.me/api/portraits/women/31.jpg
c47c874c-0c40-4eed-8154-eb821abeede9,Rolando Hidalgo,male,74,Queretaro,Valle de Santiago,Mexico,99112,rolando.hidalgo@example.com,(612) 757 6005,https://randomuser.me/api/portraits/men/85.jpg
449f8db8-a87e-4c50-ad18-297da814f5e0,Osnilda da Conceição,female,32,Paraná,Ipatinga,Brazil,29076,osnilda.daconceicao@example.com,(18) 5460-4235,https://randomuser.me/api/portraits/women/59.jpg
f042f416-0e2e-48cf-9f2f-ef3ca55b3114,Hanne Myhra,female,75,Telemark,Ål,Norway,5544,hanne.myhra@example.com,22295838,https://randomuser.me/api/portraits/women/88.jpg
2b0b3143-3cd2-425d-ae8f-c0f05973e531,Mercedes González,female,66,Comunidad Valenciana,Orihuela,Spain,96435,mercedes.gonzalez@example.com,974-215-946,https://randomuser.me/api/portraits/women/93.jpg
06bfc95e-b0e7-4179-884b-eefd96a4c69b,Nixon Chen,male,37,Manawatu-Wanganui,Timaru,New Zealand,46609,nixon.chen@example.com,(822)-656-7699,https://randomuser.me/api/portraits/men/24.jpg
